NU_INSCRICAO,tipo_faixa_etaria,tipo_sexo,tipo_estado_civil,tipo_cor_raca,tipo_nacionalidade,tipo_conclusao,ano_de_concusao,tipo_escola,tipo_treineiro,regiao,uf_prova,municipio_prova,q01_escolaridade_pai,q02_escolaridade_mae,q03_ocupacao_pai,q04_ocupacao_mae,q05_pessoas_residencia,q06_renda_familiar,renda_per_capita,faixa_renda_per_capita,q07_empregado_domestico,q08_tem_banheiro,q09_qtd_quartos,q10_tem_carro,q11_tem_motocicleta,q12_tem_geladeira,q13_tem_freezer,q14_tem_maquina_lavar_roupa,q15_tem_maquina_secar_roupa,q17_tem_maquina_lavar_louca,q16_tem_microondas,q18_tem_aspirador_po,q19_tem_tv_cores,q20_tem_dvd,q21_tem_tv_assinatura,q23_tem_telefone_fixo,q22_tem_celular,q24_tem_computador,q25_tem_internet,indice_tecnologico,indice_eletrodomesticos,indice_transporte,indice_estrutura_casa,indice_escolaridade_pais,indice_max_escolaridade_pais,lingua_estrangeira,status_redacao,nota_cn,nota_ch,nota_lc,nota_mt,nota_red_comp1,nota_red_comp2,nota_red_comp3,nota_red_comp4,nota_red_comp5,nota_redacao,nota_media_geral
210060214083,4,Masculino,1,Preta,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Sudeste,MG,Belo Horizonte,4.0,4.0,D,D,2,3,1155.0,4,0,2,4,0,0,1,0,1,0,0,1,0,2,0,0,1,2,2,1,8,3,0,6,8.0,4.0,Inglês,Sem problemas,511.0,612.2,547.9,551.2,120.0,160.0,120.0,120.0,0.0,520.0,555.6
210058061536,4,Feminino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Norte,PA,Marituba,4.0,4.0,C,B,4,1,165.0,1,0,1,2,0,1,1,0,0,0,0,0,0,2,0,0,0,3,0,1,6,1,1,3,8.0,4.0,Inglês,Sem problemas,592.9,624.0,676.4,731.8,160.0,200.0,180.0,140.0,200.0,880.0,656.3
210061103943,4,Feminino,3,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Sudeste,ES,Serra,5.0,6.0,B,D,3,4,990.0,3,0,1,2,0,0,1,1,1,0,0,0,1,1,0,1,0,3,1,1,7,4,0,3,11.0,6.0,Inglês,Sem problemas,474.0,561.0,520.3,596.8,180.0,200.0,160.0,200.0,200.0,940.0,538.0
210059980946,4,Feminino,1,Branca,Brasileiro(a),4,2,Não Respondeu,Não é treineiro,Norte,PA,Belém,4.0,6.0,B,D,5,10,1980.0,5,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,5,1,1,3,10.0,6.0,Inglês,Sem problemas,632.0,688.4,635.8,709.6,160.0,200.0,180.0,200.0,200.0,940.0,666.4
210059855121,3,Masculino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Sudeste,SP,São Paulo,2.0,2.0,C,B,2,3,1155.0,4,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,3,2,0,2,4.0,2.0,Inglês,Sem problemas,523.8,576.3,596.5,628.1,120.0,140.0,100.0,120.0,120.0,600.0,581.2
210059527734,3,Masculino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Sudeste,RJ,Nilópolis,4.0,4.0,B,B,3,1,220.0,1,0,1,2,0,0,1,1,1,0,0,0,0,2,0,0,0,3,0,1,6,3,0,3,8.0,4.0,Espanhol,Sem problemas,508.0,638.5,585.0,646.5,80.0,160.0,120.0,80.0,120.0,560.0,594.5
210061103944,2,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Sul,RS,Caxias do Sul,4.0,4.0,C,B,5,6,924.0,3,0,2,4,1,0,1,2,1,0,0,1,1,2,1,1,1,4,2,1,12,6,1,6,8.0,4.0,Inglês,Sem problemas,496.0,505.6,520.8,387.4,120.0,100.0,100.0,100.0,100.0,520.0,477.4
210060214086,9,Feminino,1,Preta,Brasileiro(a),4,6,Não Respondeu,Não é treineiro,Nordeste,BA,Feira de Santana,2.0,2.0,B,B,2,2,825.0,3,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,1,4,2,0,3,4.0,2.0,Espanhol,Sem problemas,406.1,425.1,468.5,449.6,120.0,120.0,100.0,120.0,140.0,600.0,437.3
210059388092,3,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Nordeste,CE,Itapipoca,,4.0,C,D,5,1,132.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,0,1,4.0,4.0,Espanhol,Sem problemas,615.0,620.5,534.0,645.1,160.0,200.0,140.0,200.0,180.0,880.0,603.6
210059980947,11,Masculino,1,Branca,Brasileiro(a),4,0,Não Respondeu,Não é treineiro,Sul,SC,Blumenau,2.0,5.0,B,B,3,3,770.0,3,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,3,1,1,6,2,0,3,7.0,5.0,Inglês,Sem problemas,501.6,607.3,624.3,634.4,140.0,160.0,140.0,120.0,160.0,720.0,591.9
210059855119,6,Feminino,0,Parda,Brasileiro(a),4,0,Não Respondeu,Não é treineiro,Norte,AC,Rio Branco,4.0,2.0,D,B,4,2,412.5,2,0,1,3,0,2,1,0,0,1,0,1,0,1,0,0,0,4,1,1,7,3,2,4,6.0,4.0,Espanhol,Sem problemas,369.9,387.1,438.3,360.2,100.0,120.0,100.0,80.0,0.0,400.0,388.9
210058387330,4,Masculino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Nordeste,PE,São Caitano,4.0,1.0,B,B,3,1,220.0,1,0,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,1,5,2,0,4,5.0,4.0,Espanhol,Sem problemas,495.6,608.3,547.9,616.4,120.0,120.0,120.0,120.0,60.0,540.0,567.1
210059085133,11,Feminino,1,Branca,Brasileiro(a),4,10,Não Respondeu,Não é treineiro,Nordeste,CE,Caucaia,4.0,1.0,F,C,6,2,275.0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,1,5,1,1,2,5.0,4.0,Inglês,Sem problemas,548.4,606.1,617.9,648.2,120.0,120.0,140.0,120.0,80.0,580.0,605.2
210061103942,3,Masculino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Sudeste,RJ,Itaperuna,4.0,4.0,C,F,4,2,412.5,2,0,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0,4,0,1,6,2,1,3,8.0,4.0,Inglês,Sem problemas,466.8,490.6,526.8,484.9,120.0,180.0,100.0,120.0,80.0,600.0,492.3
210059388090,14,Feminino,3,Parda,Brasileiro(a),4,0,Não Respondeu,Não é treineiro,Nordeste,SE,São Cristóvão,1.0,4.0,B,B,2,2,825.0,3,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,4,1,0,4,5.0,4.0,Espanhol,Sem problemas,466.8,500.0,475.9,448.7,120.0,120.0,120.0,100.0,0.0,460.0,472.8
210059980945,4,Feminino,1,Parda,Brasileiro(a) Naturalizado(a),4,2,Não Respondeu,Não é treineiro,Sudeste,RJ,Rio de Janeiro,,4.0,F,F,4,4,742.5,3,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,4,1,1,8,4,0,2,4.0,4.0,Inglês,Sem problemas,505.0,497.1,543.1,424.6,80.0,100.0,100.0,100.0,120.0,500.0,492.4
210058061537,4,Masculino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Nordeste,BA,Salvador,4.0,4.0,F,D,2,3,1155.0,4,0,1,2,0,0,1,1,0,0,0,1,0,1,0,1,0,2,1,1,6,3,0,3,8.0,4.0,Inglês,Sem problemas,542.5,554.1,535.2,638.2,120.0,200.0,160.0,200.0,180.0,860.0,567.5
210058387331,7,Masculino,1,Branca,Brasileiro(a),4,4,Não Respondeu,Não é treineiro,Sudeste,MG,Santos Dumont,2.0,4.0,B,B,3,2,550.0,2,0,1,2,1,0,1,0,1,0,0,1,1,1,0,0,0,3,1,1,6,4,1,3,6.0,4.0,Inglês,Sem problemas,594.3,645.9,647.8,587.9,120.0,180.0,120.0,120.0,100.0,640.0,619.0
210059085134,2,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Sul,PR,Ivaiporã,4.0,4.0,D,B,5,4,594.0,2,0,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0,3,0,0,4,2,1,3,8.0,4.0,Inglês,Sem problemas,502.3,604.1,573.1,626.1,160.0,200.0,180.0,180.0,160.0,880.0,576.4
210060801599,3,Masculino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Nordeste,MA,Pio XII,1.0,5.0,A,A,4,0,0.0,1,0,1,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,3,2,1,3,6.0,5.0,Espanhol,Sem problemas,567.4,608.3,551.1,528.4,160.0,160.0,160.0,180.0,180.0,840.0,563.8
210059527733,3,Masculino,1,Preta,Brasileiro(a),2,0,Pública,Não é treineiro,Sudeste,ES,Vitória,,4.0,B,B,3,6,1540.0,5,0,1,2,0,0,1,0,1,0,0,1,0,3,0,0,0,3,1,1,8,3,0,3,4.0,4.0,Inglês,Sem problemas,615.2,584.0,594.7,697.1,120.0,180.0,120.0,120.0,140.0,680.0,622.8
210058941499,4,Masculino,1,Branca,Brasileiro(a),4,2,Não Respondeu,Não é treineiro,Norte,TO,Araguaína,2.0,4.0,F,B,2,2,825.0,3,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,4,1,1,3,6.0,4.0,Espanhol,Sem problemas,460.4,536.4,501.9,646.8,160.0,200.0,160.0,160.0,160.0,840.0,536.4
210059959486,3,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Nordeste,BA,Brumado,2.0,2.0,C,A,4,1,165.0,1,0,1,2,1,0,1,1,0,0,0,1,0,1,0,0,0,2,1,1,5,3,1,3,4.0,2.0,Inglês,Sem problemas,447.9,568.2,560.8,639.0,160.0,180.0,160.0,180.0,160.0,840.0,554.0
210058573821,9,Feminino,2,Branca,Brasileiro(a),4,7,Não Respondeu,Não é treineiro,Sul,PR,Medianeira,2.0,2.0,A,B,2,1,330.0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,3,2,1,2,4.0,2.0,Espanhol,Sem problemas,544.6,592.3,509.2,464.9,120.0,120.0,120.0,120.0,120.0,600.0,527.8
210059246977,7,Masculino,1,Parda,Brasileiro(a),4,5,Não Respondeu,Não é treineiro,Sudeste,SP,São Paulo,3.0,4.0,C,B,5,2,330.0,1,0,2,3,0,0,2,0,1,0,0,2,0,2,0,0,0,4,1,1,8,5,0,5,7.0,4.0,Inglês,Sem problemas,507.0,575.8,596.4,579.6,140.0,160.0,120.0,140.0,160.0,720.0,564.7
210059589782,3,Feminino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Sudeste,MG,Divinópolis,4.0,3.0,D,D,4,2,412.5,2,0,2,2,1,0,1,1,1,0,0,1,0,2,0,0,1,3,0,1,7,4,1,4,7.0,4.0,Inglês,Sem problemas,553.3,620.6,571.3,729.1,160.0,180.0,180.0,200.0,200.0,920.0,618.6
210058941500,5,Masculino,1,Parda,Brasileiro(a),4,0,Não Respondeu,Não é treineiro,Sudeste,SP,São Paulo,2.0,2.0,C,B,3,6,1540.0,5,0,1,2,0,0,1,0,1,0,0,1,1,3,0,0,0,3,1,1,8,4,0,3,4.0,2.0,Inglês,Sem problemas,601.5,645.0,603.4,645.0,160.0,180.0,140.0,160.0,160.0,800.0,623.7
210059959487,4,Feminino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Sul,PR,Pinhais,1.0,2.0,C,B,2,3,1155.0,4,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,4,2,0,3,3.0,2.0,Inglês,Sem problemas,454.9,503.6,522.0,350.9,100.0,120.0,120.0,100.0,40.0,480.0,457.8
210059982325,2,Feminino,0,Preta,Brasileiro(a) Naturalizado(a),2,0,Pública,Não é treineiro,Sudeste,SP,São Paulo,1.0,3.0,C,B,2,1,330.0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,3,0,2,4.0,3.0,Inglês,Sem problemas,0.0,554.0,529.6,0.0,100.0,120.0,80.0,60.0,60.0,420.0,270.9
210060440980,11,Feminino,2,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Sudeste,RJ,Campos dos Goytacazes,3.0,4.0,C,B,4,2,412.5,2,0,1,2,1,0,1,0,1,0,0,1,0,2,0,0,0,2,0,1,5,3,1,3,7.0,4.0,Espanhol,Sem problemas,531.0,599.8,573.2,517.8,120.0,140.0,120.0,140.0,100.0,620.0,555.4
210060373830,2,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Nordeste,CE,Fortaleza,4.0,4.0,F,D,2,1,330.0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,0,3,8.0,4.0,Inglês,Sem problemas,499.1,546.8,533.0,534.3,100.0,180.0,140.0,140.0,160.0,720.0,528.3
210061103946,3,Feminino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Nordeste,BA,Vitória da Conquista,1.0,4.0,C,B,5,1,132.0,1,0,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,4,2,0,4,5.0,4.0,Espanhol,Fuga ao tema,324.4,507.5,431.4,422.4,0.0,0.0,0.0,0.0,0.0,0.0,421.4
210060214088,3,Masculino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Centro-Oeste,MS,Amambai,5.0,4.0,F,B,4,1,165.0,1,0,1,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,3,2,1,3,9.0,5.0,Espanhol,Sem problemas,527.8,599.5,584.8,343.5,100.0,120.0,100.0,120.0,120.0,560.0,513.9
210059388093,4,Feminino,1,Preta,Brasileiro(a),2,0,Pública,Não é treineiro,Nordeste,BA,Camaçari,3.0,3.0,B,C,2,1,330.0,1,0,1,2,0,0,1,0,1,0,0,1,0,1,0,0,0,2,0,1,4,3,0,3,6.0,3.0,Espanhol,Sem problemas,379.6,498.0,480.8,430.0,120.0,120.0,100.0,120.0,80.0,540.0,447.1
210059980949,13,Feminino,1,Preta,Brasileiro(a),4,17,Não Respondeu,Não é treineiro,Nordeste,PI,Teresina,3.0,,B,F,4,1,165.0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,3,3.0,3.0,Inglês,Sem problemas,489.0,537.0,509.8,482.2,140.0,40.0,40.0,100.0,40.0,360.0,504.5
210058061540,8,Masculino,1,Parda,Brasileiro(a),4,6,Não Respondeu,Não é treineiro,Norte,PA,Igarapé-Miri,5.0,4.0,D,B,3,2,550.0,2,0,3,3,1,1,1,0,1,0,0,0,0,2,0,0,0,3,1,1,7,2,2,6,9.0,5.0,Inglês,Sem problemas,482.9,605.9,590.9,610.6,120.0,140.0,120.0,120.0,120.0,620.0,572.6
210058387334,2,Masculino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Nordeste,AL,Arapiraca,3.0,5.0,C,A,5,2,330.0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,3,1,0,3,8.0,5.0,Inglês,Sem problemas,472.9,502.6,480.3,392.8,100.0,120.0,120.0,100.0,60.0,500.0,462.2
210059085138,11,Masculino,1,Branca,Brasileiro(a),4,9,Não Respondeu,Não é treineiro,Centro-Oeste,GO,Catalão,1.0,3.0,A,B,2,2,825.0,3,1,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,5,2,0,4,4.0,3.0,Espanhol,Sem problemas,514.0,554.9,391.5,391.6,120.0,180.0,100.0,120.0,80.0,600.0,463.0
210061103947,5,Feminino,1,Parda,Brasileiro(a),4,3,Não Respondeu,Não é treineiro,Nordeste,PI,Teresina,4.0,2.0,B,F,5,1,132.0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,4,1,0,2,6.0,4.0,Espanhol,Sem problemas,430.8,560.5,561.0,435.4,140.0,200.0,180.0,160.0,160.0,840.0,496.9
210059388094,3,Masculino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Sudeste,MG,João Monlevade,5.0,6.0,D,D,4,8,1815.0,5,1,3,4,1,1,1,1,1,1,0,1,1,2,0,0,0,4,3,1,10,6,2,8,11.0,6.0,Inglês,Sem problemas,567.8,603.8,579.7,687.0,120.0,160.0,120.0,120.0,160.0,680.0,609.6
210059246972,9,Masculino,1,Preta,Brasileiro(a),4,6,Não Respondeu,Não é treineiro,Nordeste,BA,Feira de Santana,4.0,3.0,C,B,4,3,577.5,2,0,2,3,2,0,1,0,1,0,0,0,0,2,1,0,0,4,2,1,10,2,2,5,7.0,4.0,Inglês,Sem problemas,643.2,601.9,629.3,756.1,160.0,200.0,200.0,200.0,200.0,960.0,657.6
210061234981,7,Masculino,4,Branca,Brasileiro(a),4,4,Não Respondeu,Não é treineiro,Nordeste,CE,Aracati,2.0,2.0,B,A,2,1,330.0,1,0,1,2,0,0,1,1,0,0,0,0,0,2,0,0,0,2,1,1,6,2,0,3,4.0,2.0,Espanhol,Sem problemas,494.5,590.2,617.4,503.4,120.0,120.0,120.0,100.0,100.0,560.0,551.4
