NU_INSCRICAO,tipo_faixa_etaria,tipo_sexo,tipo_estado_civil,tipo_cor_raca,tipo_nacionalidade,tipo_conclusao,ano_de_concusao,tipo_escola,tipo_treineiro,municipio_prova,uf_prova,q01_escolaridade_pai,q02_escolaridade_mae,q03_ocupacao_pai,q04_ocupacao_mae,q05_pessoas_residencia,q06_renda_familiar,q07_empregado_domestico,q08_tem_banheiro,q09_qtd_quartos,q10_tem_carro,q11_tem_motocicleta,q12_tem_geladeira,q13_tem_freezer,q14_tem_maquina_lavar_roupa,q15_tem_maquina_secar_roupa,q17_tem_maquina_lavar_louca,q16_tem_microondas,q18_tem_aspirador_po,q19_tem_tv_cores,q20_tem_dvd,q21_tem_tv_assinatura,q23_tem_telefone_fixo,q22_tem_celular,q24_tem_computador,q25_tem_internet,lingua_estrangeira,status_redacao,nota_cn,nota_ch,nota_lc,nota_mt,nota_red_comp1,nota_red_comp2,nota_red_comp3,nota_red_comp4,nota_red_comp5,nota_redacao
210059980969,8,Feminino,1,Branca,Brasileiro(a),4,5,Não Respondeu,Não é treineiro,Rio Grande,RS,E,E,F,B,2,D,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,A,B,A,B,Inglês,Sem problemas,547.1,494.3,537.8,466.8,140.0,160.0,140.0,100.0,100.0,640.0
210058073304,4,Feminino,1,Preta,Brasileiro(a),2,0,Pública,Não é treineiro,Valença,BA,D,G,C,D,2,B,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,A,C,A,B,Espanhol,Sem problemas,545.5,642.5,588.6,648.8,160.0,200.0,160.0,160.0,200.0,880.0
210059855143,9,Feminino,1,Parda,Brasileiro(a),4,7,Não Respondeu,Não é treineiro,Catolé do Rocha,PB,B,B,D,A,6,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,B,A,B,Inglês,Sem problemas,634.5,630.6,598.0,608.5,160.0,200.0,140.0,160.0,180.0,840.0
210058387354,4,Feminino,1,Preta,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Porto Velho,RO,F,F,D,E,4,K,A,D,D,C,A,B,B,B,A,A,B,A,B,A,A,A,D,A,B,Espanhol,Sem problemas,549.1,503.9,532.5,640.1,140.0,200.0,160.0,160.0,140.0,800.0
210060801621,11,Feminino,2,Parda,Brasileiro(a),4,12,Não Respondeu,Não é treineiro,Sapucaia do Sul,RS,B,B,A,A,2,B,A,B,B,A,A,B,B,B,A,A,B,A,B,A,A,A,C,B,B,Inglês,Sem problemas,397.1,530.3,468.6,329.7,160.0,200.0,120.0,160.0,120.0,760.0
210059540791,5,Feminino,1,Parda,Brasileiro(a),4,0,Não Respondeu,Não é treineiro,Imperatriz,MA,B,B,A,A,4,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,A,E,A,B,Inglês,Sem problemas,380.9,499.4,506.2,375.5,120.0,180.0,120.0,120.0,100.0,640.0
210060214109,3,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,São Paulo,SP,F,E,D,B,4,E,A,B,C,B,A,B,A,A,A,A,B,A,B,A,A,A,E,B,B,Inglês,Sem problemas,493.3,518.4,480.5,484.9,120.0,80.0,80.0,120.0,120.0,520.0
210058073305,7,Masculino,1,Preta,Brasileiro(a),4,5,Não Respondeu,Não é treineiro,Araçuaí,MG,C,D,C,B,4,C,A,B,C,B,B,B,A,A,A,A,B,A,B,A,A,A,E,B,B,Inglês,Sem problemas,517.6,518.7,441.0,511.2,140.0,200.0,140.0,160.0,120.0,760.0
210059868169,9,Masculino,1,Branca,Brasileiro(a),4,0,Não Respondeu,Não é treineiro,João Pessoa,PB,D,E,C,D,3,C,A,B,C,B,A,B,B,B,A,A,B,A,B,A,A,A,D,B,B,Inglês,Sem problemas,539.1,563.2,561.1,687.7,120.0,120.0,100.0,120.0,60.0,520.0
210058387355,2,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Assis,SP,E,E,D,B,7,B,A,C,C,B,A,B,A,B,A,A,B,A,C,A,A,A,C,B,B,Espanhol,Sem problemas,465.1,529.0,534.7,641.4,100.0,40.0,40.0,100.0,60.0,340.0
